index,word,difficulty,category
749,selten,0,"other adjectives"
750,Original,0,"other Nouns"
751,Norden,0,travel
752,offiziell,0,"other adjectives"
753,Osten,0,travel
754,wissen,0,"other verbs"
755,Süden,0,travel
756,Westen,0,travel
757,Österreich,1,travel
758,wohnen,0,"at home"
759,Pass,0,travel
760,Park,0,travel
761,Pause,0,"free time"
762,Pech,0,emotions
763,Plan,0,travel
764,Plastik,0,materials
765,Preis,0,"other Nouns"
766,testen,0,"other verbs"
767,Erwachsener,1,"humans and animals"
768,retten,1,"other verbs"
769,riechen,1,"humans and animals"
770,NULL,0,general
771,rufen,1,"other verbs"
772,sammeln,0,"other verbs"
773,Schaden,1,"other Nouns"
774,Saison,1,time
775,Scherz,0,emotions
776,senden,0,"other verbs"
777,schlagen,0,"other verbs"
778,Schuld,1,emotions
779,schützen,1,"other verbs"
780,erschrecken,1,"other verbs"
781,schneiden,0,"other verbs"
782,leise,0,"other adjectives"
783,laut,0,"other adjectives"
784,sicher,0,"other adjectives"
785,sitzen,0,"other verbs"
786,stehen,0,"other verbs"
787,liegen,0,"other verbs"
788,sofort,0,"other adjectives"
789,sonst,0,"other adjectives"
790,Spaß,0,emotions
791,Spinne,1,"humans and animals"
792,Spitze,0,"other Nouns"
793,rund,0,"other adjectives"
794,hart,0,"other adjectives"
795,weich,0,"other adjectives"
796,stark,0,"other adjectives"
797,schwach,0,"other adjectives"
798,Stein,0,"other Nouns"
799,statt,0,"other adjectives"
800,Stimme,1,"humans and animals"
801,stolz,0,emotions
802,Strafe,0,"other Nouns"
803,teilnehmen,1,"other verbs"
804,Termin,1,work
805,tief,0,"other adjectives"
806,Geräusch,1,"other Nouns"
807,tragen,0,"other verbs"
808,leben,0,"other verbs"
809,sterben,0,"other verbs"
810,traurig,0,emotions
811,treu,1,emotions
812,trocken,1,weather
813,trennen,0,"other verbs"
814,trotzdem,0,"other adjectives"
815,NULL,0,general
816,unter,0,"other adjectives"
817,möglich,0,"other adjectives"
818,Blödsinn,1,"other Nouns"
819,Unterschrift,1,work
820,Titel,0,work
821,unterwegs,1,travel
822,unterbrechen,1,"other verbs"
823,unverständlich,0,"other adjectives"
824,Ursache,0,"other Nouns"
825,verboten,0,"other verbs"
826,brauchen,0,"other verbs"
827,verantwortlich,1,work
828,verbessern,0,"other verbs"
829,vergessen,0,"other verbs"
830,Verkehr,1,travel
831,verhindern,1,"other verbs"
832,verlassen,0,"other verbs"
833,verschieden,0,"other adjectives"
834,NULL,0,general
835,versprechen,1,"other verbs"
836,Vertrag,1,work
837,verstecken,0,"other verbs"
838,versuchen,0,"other verbs"
839,vertrauen,0,"other verbs"
840,NULL,0,general
841,wenig,0,"other adjectives"
842,vorne,0,"other adjectives"
843,hinten,0,"other adjectives"
844,"Auf gehts!",1,phrases
845,Wahrheit,0,"other Nouns"
846,lügen,0,"other verbs"
847,wachsen,0,"other verbs"
848,wechseln,0,"other verbs"
849,einschalten,0,"other verbs"
850,ausschalten,0,"other verbs"
851,wegen,0,"other adjectives"
852,wählen,0,"other verbs"
853,weinen,0,emotions
854,kurz,0,"other adjectives"
855,NULL,0,general
856,wegwerfen,1,"other verbs"
857,wenigstens,0,"other adjectives"
858,höchstens,0,"other adjectives"
859,Werbung,1,"other Nouns"
860,empfehlen,0,"other verbs"
861,wertvoll,0,"other adjectives"
862,NULL,0,general
863,Wunder,0,"other Nouns"
864,Sofa,0,"at home"
865,Ziel,0,"other Nouns"
866,Start,0,"other Nouns"
867,Punkt,0,"other Nouns"
868,Linie,0,"other Nouns"
869,Kreis,0,"other Nouns"
870,Rechteck,1,"other Nouns"
871,Dreieck,1,"other Nouns"
872,Zentrum,0,travel
873,ziemlich,0,"other adjectives"
874,zerstören,0,"other verbs"
875,NULL,0,general
876,zufällig,0,"other adjectives"
877,Zukunft,1,time
878,Geschichte,1,time
879,rechnen,1,numbers
880,"zum Beispiel",1,phrases
881,zuletzt,0,"other adjectives"
882,Zustand,1,"other Nouns"
883,Zylinder,0,"other Nouns"
884,zusammen,0,"other adjectives"
885,Kegel,1,"other Nouns"
886,Ladegerät,0,"other Nouns"
887,Prozent,0,numbers
888,Liste,0,"other Nouns"
889,Video,0,"free time"
890,drücken,0,"other verbs"
891,ziehen,0,"other verbs"
892,Elefant,0,"humans and animals"
893,Pinguin,0,"humans and animals"
894,Löwe,1,"humans and animals"
895,Disco,0,travel
896,privat,0,"other adjectives"
897,Kappe,1,clothes
898,Lautsprecher,0,"other Nouns"
899,Lehrer,1,work
900,Rock,1,clothes
901,Geburtstag,0,"free time"
902,Freizeit,0,travel
903,Urlaub,0,travel
904,Rad,0,travel
905,unbekannt,0,"other adjectives"
906,Wecker,1,"at home"
907,Garderobe,1,"at home"
908,Küche,0,"at home"
909,Badewanne,1,"at home"
910,Zahnbürste,1,"at home"
911,Radio,0,travel
912,Brief,0,travel
913,Pfeffer,0,"eat and drink"
914,Schlange,1,"humans and animals"
915,Balkon,0,"at home"
916,Richtung,1,travel
917,Rucksack,0,travel
918,Brücke,1,travel
919,Tunnel,1,travel
920,Bart,1,"humans and animals"
921,Pokal,1,"free time"
922,Matte,1,"at home"
923,Kiste,1,"at home"
924,Decke,1,"at home"
925,Keller,0,"at home"
926,Garage,0,"at home"
927,Regal,1,"at home"
928,Boden,0,"at home"
929,bewegen,0,"other verbs"
930,berühren,0,"other verbs"
931,Zeitung,1,"at home"
932,Nebel,1,weather
933,Schnee,0,weather
934,Hemd,1,clothes
935,fliegen,0,travel
936,fallen,0,"other verbs"
937,Helm,1,clothes
938,Sprache,1,travel
939,brechen,0,"other verbs"
940,Aussicht,1,travel
941,zeichnen,0,"free time"
942,allgemein,0,"other adjectives"
943,laden,0,"other verbs"
944,beschleunigen,0,"other verbs"
945,scheinen,0,"other verbs"
946,entspannen,0,"free time"
947,Hagel,1,weather
